src,tgt
Giá vàng hôm nay ngày 20/4/2017 giảm nhẹ nhưng vẫn ở mức cao .  Những căng thẳng về chính trị khiến giá vàng có thể  “ đột phá ”  bất cứ khi nào . Sự kiện :,今天20/4/2017的黄金价格略有下降，但仍然很高。政治紧张局势随时使黄金价格“突破”。
"Những quả dâu tây mọng đỏ hình trái tím ,  cánh bướm ,  thậm chí cả găng tay thuộc về một nhà vườn ở Đà Lạt .",红色形状的红色草莓，蝴蝶翅膀，甚至手套属于达拉特的一间花园房屋。
Những con khỉ sóc thông minh tận dụng  “ cỗ xe chuột lang nước “  nặng tới 60 kg như một chiếc taxi để di chuyển đến những nơi mà chúng muốn .,聪明的猴子利用“老鼠车”像出租车一样重达60公斤，搬到他们想要的地方。
"Tháng 5 ,  6 là thời điểm tốt nhất để bán nhà ,  trong khi đó tháng 12 là thời gian tệ nhất .",五月，六月是出售房屋的最佳时机，而十二月是最糟糕的时间。
"Có một số loại thực phẩm không nên ăn trong bữa sáng để đảm bảo sức khỏe như sữa ,  các sản phẩm làm từ sữa ,  cà phê ,  trái cây ,  bơ ,  xúc xích .  .  .",早餐期间不应食用一些食物，以确保健康，例如牛奶，牛奶产品，咖啡，水果，鳄梨，香肠...
"Tất cả số hàng hóa vừa bị Cục Quản lý thị trường tỉnh Quảng Ngãi thu giữ đều xếp vào hàng cấm ,  hàng nhập lậu ,  hàng giả ,  hàng kém chất lượng ,  không được phép lưu thông trên thị trường .",所有商品刚刚被Quang Ngai省市场管理部门扣押，该部门以禁止商品，走私的商品，假货，质量差，不允许在市场中流通。
"Ngộ độc thực phẩm sau khi ăn cỗ tại Hà Giang hiện tại đang tăng lên là 48 người .  Vậy ,  khi bị ngộ độc thực phẩm tập thể ,  cần làm gì ?",在Ha Giang吃甲板后，食物中毒增加了48人。因此，当集体食物中毒时，该怎么办？
"Thời gian gần đây ,  tại nhiều địa phương xuất hiện một loại mực bán với giá rất rẻ ,  chỉ từ 20 . 000-40 . 000 đồng/kg ,  cao nhất cũng chỉ 50 . 000-70 . 000 đồng/kg ,  thấp hơn nhiều so với giá mực bình thường từ 80 . 000-200 . 000 đồng/kg .","最近，在许多地区，一种墨水以非常便宜的价格出售，仅在20,000-40,000 vnd/kg中，最高的墨水仅为50,000-70,000 vnd/kg，远低于普通墨水价格80,000-200,000 vnd/kg 。"
"Trong khoảng thời gian Tổng giám đốc HAGL Agrico đăng ký mua vào 1 triệu cổ phiếu HNG ,  mã này thậm chí có phiên giảm còn 6 . 220 đồng/cổ phiếu .  Tuy nhiên ,  bà Võ Thị Mỹ Hạnh cho biết chưa thu xếp được tài chính để mua .","在Hagl Agrico登记购买100万股HNG股票的总董事中，该代码甚至下降至6,220 Dong/股。但是，我的hanh女士说，她尚未在经济上购买。"
"Các bác sĩ cho biết căn bệnh ung thư dạ dày ở giai đoạn đầu thường là các dấu hiệu hết sức mơ hồ ,  dễ bị người bệnh bỏ qua . Sự kiện :",医生说，早期的胃癌通常是非常模糊的迹象，患者很容易忽略。
"Người đẹp sinh năm 1996 chia sẻ ,  cô rất buồn trước bình phẩm không hay về nhan sắc của mình .  Nhưng cô bình tĩnh tiếp nhận để nhìn lại và hoàn thiện bản thân . Sự kiện :",1996年出生的美女共享，她对自己的美丽感到非常难过。但是她冷静地接受回头并完善自己。
"Dòng người nước ngoài rời khỏi Trung Quốc có thể là do hết hợp đồng làm việc ,  chi phí sinh hoạt ở Trung Quốc gia tăng ,  mong muốn được trở về nước làm việc ,  và đặc biệt là tình trạng ô nhiễm nghiêm trọng ở Trung Quốc .",离开中国的外国人的流程可能是由于工作合同的终结，在中国的生活成本增加，返回该国的愿望，尤其是在中国的严重污染。
"Theo dự thảo Nghị định mới nhất ,  gói hỗ trợ gia hạn thuế và tiền thuê đất được tăng từ hơn 80 ngàn tỷ đồng lên tới trên 180 ngàn tỷ ,  đồng thời mở rộng quy mô về đối tượng doanh nghiệp ,  tổ chức được hưởng ưu đãi .",根据最新草案法令，税收扩展支持套餐和土地租金从80万亿的董事增加到180万亿，并扩大了业务对象和组织的规模。
"Tình hình Biển Đông mới nhất cho hay ,  đội tàu gồm 4 chiến hạm Ấn Độ sẽ ghé thăm vịnh Cam Ranh của Việt Nam và tham gia diễn tập ở Biển Đông . Sự kiện :",最新的东海情况说，四个印度战舰的舰队将参观越南坎·拉赫湾，并参加南中国海的演习。
"Giá vàng hôm nay ngày 19/5/2017 trên thị trường thế giới bất ngờ giảm mạnh sau khi đạt đỉnh 2 tuần qua .  Giá vàng thế giới hiện đang ở mức 1 . 248 , 10 USD/ounce . Sự kiện :","今天19/5/2017在世界市场上的金价在过去2周的高峰之后突然下降了。世界黄金价格目前为1,248.10美元/盎司。"
"Nha đam được coi như  “ thần dược ”  trong việc làm đẹp da .  Tuy nhiên ,  còn một lợi ích nữa của nha đam mà không phải ai cũng biết ,  đó là giúp giảm cân hiệu quả . Sự kiện :",芦荟被认为是皮肤美感中的“灵丹妙药”。但是，芦荟并非所有人都知道的另一个好处是有效地帮助减肥。
"Huyền thoại nhạc rock Keith Emerson qua đời tại nhà riêng ở Santa Monica ,  Los Angeles .  Nguyên nhân cái chết của ông hiện đang được cảnh sát điều tra . Sự kiện :",Rock Emerson Legend在洛杉矶圣莫尼卡的家中去世。目前，警方调查了他死亡的原因。
"Công ty CP Sữa Việt Nam  ( Vinamilk )  cho biết ,  công ty này vừa đạt giải công nghệ thực phẩm toàn cầu năm 2014 do Liên đoàn các Hiệp hội Khoa học & Công Nghệ Thực Phẩm quốc tế  ( IUFoST )  tổ chức thi và chấm giải . Sự kiện :",越南乳制品股票公司（Vinamilk）表示，该公司刚刚由国际食品科学技术协会联合会（IFOST）组织。
"Thông tin nghệ sĩ Minh Béo bị bắt tại Mỹ vì quấy rối tình dục trẻ vị thành niên đã gây chấn động dư luận ,  nhiều báo và truyền hình tại Mỹ đã đưa tin . Sự kiện :",据美国许多报纸和电视台报道，艺术家Minh Beo因性骚扰而被捕的信息引起了公众舆论的震惊。
"Mụn bọc được coi là kẻ thù của phái đẹp ,  khiến nữ giới luôn có cảm giác thiếu tự tin trong giao tiếp .  Để điều trị mụn bọc ,  có thể áp dụng một số biện pháp từ thiên nhiên đơn giản và hiệu quả . Sự kiện :",痤疮被认为是妇女的敌人，使妇女总是对沟通缺乏信心。为了治疗痤疮，可以采用一些简单有效的自然措施。
"Vatanika ,  Three Floor ,  Elisabetta Franchi ,  Versus Versace… là những thương hiệu thời trang cao cấp được người nổi tiếng quốc tế lựa chọn hàng đầu . Sự kiện :",Vatanika，三楼，Elisabetta Franchi，Versus Versace ...是由国际名人选择的高级时装品牌。
Tài tử Johnny Depp phải chi 320 nghìn đô để giúp thú cưng thoát khỏi  “ án tử ”  sau khi đưa hai chú chó vào Úc mà không tuân thủ đầy đủ điều khoản nhập cảnh với động vật của nước này .  Sự kiện :,演员约翰尼·德普（Johnny Depp）必须花32万美元将两只狗带入澳大利亚，而无需遵守该国动物的入学任期，以帮助宠物逃脱“死刑”。事件：
Tạp chí Forbes mới đây đã công bố danh sách những tỷ phú trẻ nhất thế giới với tuổi đời chưa đến 40 nhưng đều sở hữu trong tay khối tài sản khổng lồ trị giá hàng tỷ đô la Mỹ .,《福布斯》杂志最近出版了世界上最年轻的亿万富翁名单，其中不到40个，但全都由价值数十亿美元的巨大财富拥有。
"“ Đã phát hiện nhiều vết bầm tím được hình thành sau khi người phi công đã chết vì trúng đạn AK-74 “  ,  đại diện cơ quan điều tra cho biết .",调查机构说：“发现飞行员死于AK-74子弹后，发现许多瘀伤是形成的。”
Chỉ một muỗng nhỏ bột cà phê nguyên chất đã tương đương với 28 tách cà phê .  Nó là một chất kích thích mạnh và thậm chí một lượng nhỏ cũng có thể gây ra quá liều .,只有一小茶匙的纯咖啡粉等于28杯咖啡。它是一种强大的兴奋剂，即使少量也会导致过量。
Chả cá thương hiệu Chongga Hàn Quốc đang bị thu hồi vì nghi vấn chứa thành phần có thể gây dị ứng nghiêm trọng nhưng lại không được ghi tên trên nhãn .,由于问题包含可能引起严重过敏但在标签上未命名的成分，因此正在恢复韩国钟高品牌鱼球。
"Hiện nay ,  trên thị trường có nhiều loại điều hòa có mức giá khá rẻ chỉ khoảng 5 đến 6 triệu đồng .  Nhiều người cho rằng ,  đây là những chiếc điều hòa tốn điện năng và nhanh hỏng .",目前，市场上有许多类型的空调，价格仅为5至600万。许多人认为这些是空气条件和快速破裂的空调。
Việt Nam được dự báo là sẽ tiếp tục giữ vị trí thứ 2 thế giới về xuất khẩu gạo .,预计越南将继续占据稻米出口的第二名。
"Khủng bố IS thành lập đội quân nói tiếng Anh ,  IS  ’ đếm ngược ’  giờ xử tử 2 con tin Nhật ,  IS biến trường học ở Iraq thành doanh trại quân đội ,  .  .  .  là những tin tức mới nhất về khủng bố IS hôm nay . Sự kiện :",是恐怖分子建立了英语的军队，是两个日本人质的处决时间“倒计时”，正在将伊拉克的学校转变为军营，这是有关当天恐怖主义的最新消息。事件：事件：
Hướng dẫn quốc tế mới về vị trí lâm sàng dành cho thực tập sinh chăm sóc sức khỏe vừa được xuất bản .,刚刚发布了有关卫生保健学员临床位置的新国际指南。
Nhiều người đang bị thu hút bởi một loại máy mát xa mắt có khả năng chữa cận thị mà không biết rằng loại máy thần kỳ này chứa những hiểm họa khôn lường .,许多人被一种可以治愈近视的眼球按摩所吸引，而不知道这种奇迹般的机器包含不可预测的危险。
"Gần đây ,  nhiều nước trên thế giới tiến hành thu hồi găng tay lao động có nguồn gốc từ Trung Quốc do nhiễm hóa chất độc hại gây dị ứng cho người sử dụng .",最近，由于对用户过敏的有毒化学物质，全球许多国家都回收了源自中国的劳动手套。
"Theo báo cáo của Savills ,  Đà Nẵng tiếp tục duy trì vị thế là điểm đến hàng đầu đối với khách du lịch trong nước và quốc tế .  Trong 6 tháng đầu năm ,  lượng khách du lịch đạt 3 , 2 triệu lượt ,  tăng 33% so với cùng kỳ năm ngoái .",根据Savills的报告，Da Nang继续保持其作为国内和国际游客的第一个目的地。在最初的6个月中，去年同期的游客人数达到320万，增长了33％。
"Audi Q5 ,  Toyota Camry ,  Chevrolet Aveo và Mitsubishi Zinger GLS là những mẫu xe đang được triệu hồi tại Việt Nam .",奥迪Q5，丰田凯美瑞，雪佛兰Aveo和三菱Zinger GLS在越南被召回。
"Trung tâm thương mại Saigon Square ,  Lucky Plaza ,  chợ Bến Thành được xác định là các điểm nổi cộm buôn bán hàng nhập lậu ,  hàng không rõ nguồn gốc ,  giả nhãn hiệu .  .  .",Saigon Square，Lucky Plaza，Ben Thanh Market被确定为走私商品的亮点，未知来源的商品，假品牌...
Bộ Công Thương lên tiếng trước thông tin thép Việt Nam xuất sang Hoa Kỳ được sản xuất tại Trung Quốc .,工业和贸易部谈到了越南钢铁出口到美国的信息。
Hãng ô tô Mỹ Ford sẽ sớm trình làng mẫu xe SUV Ford Territory với mức giá dự kiến từ 315 triệu đồng tại thị trường Trung Quốc . Sự kiện :,美国汽车福特（American Automobile Ford）将很快推出SUV Ford领土模式，其预期在中国市场上的价格为3.15亿次。
"Tình hình biển Đông mới nhất hôm nay cho hay ,  Tổng thống Obama nhấn mạnh sự cần thiết đưa vấn đề Biển Đông lên bàn nghị sự ASEAN . Sự kiện :",最新的东海情况说，奥巴马总统强调有必要在东盟高级折扣上提出东海问题。
"Ngày 29/4 ,  một vụ tai nạn máy bay rơi đã xảy ra ở đảo Turoey ,  gần Bergen ,  Na Uy .  Hiện lực lượng chức năng đã tìm thấy 11/13 thi thể . Sự kiện :",4月29日，在挪威卑尔根附近的Tureyy岛发生了一次飞机失事。目前，功能力发现了11/13尸体。
"Khi trang trí cây cảnh trong phòng ngủ cần tránh các loại cây tán lá to ,  thô nhám ,  xù xì và các loại hoa màu sặc sỡ ,  đậm hương .  .  .  .",在卧室里装饰盆景时，有必要避免大型，粗糙的叶子和五颜六色，风味的花朵....
"Giá vàng hôm nay tiếp tục tăng và theo kết quả từ cuộc khảo sát trực tuyến của Kitco News ,  các nhà đầu tư nhỏ lẻ đều có chung dự đoán giá vàng sẽ tiếp tục giảm trong tuần tới .  Sự kiện :",今天的黄金价格继续上涨，根据Kitco News在线调查的结果，小型投资者在下周将继续下跌相同的黄金价格预测。事件：
"Cứ mỗi buổi chiều ,  cặp vợ chồng già xuất hiện ,  ngồi trên một chiếc ghế để canh chỗ đỗ xe ô tô cho con trai mình ngay mặt đường một con phố sầm uất .",每天下午，老夫妇出现，坐在椅子上，在街上为儿子看着汽车，一条繁忙的街道。
"Nhiều cổ đông viên đang  “ rủ nhau ”  kêu gọi mua cổ phiếu công ty của bầu Đức ,  trong bối cảnh giá cổ phiếu HAGL đang xuống rất thấp .",许多股东正在“邀请”呼吁购买这家德国公司的股票，而在HAGL股票价格下跌非常低。
"Chọn ngày khai trương tốt đầu năm 2015 theo phong tục sẽ mang lại một năm mới suôn sẻ ,  may mắn .  Đối với người tuổi Ngọ ,  ngày mùng 1 ,  mùng 6 và mùng 9 được coi là ngày đẹp .",根据习俗，在2015年初选择一个良好的开幕日将使新的一年顺利而幸运。对于在马年份出生的人，第1、6和9号，这被认为是美好的一天。
"Giá vàng hôm nay ngày 11/4/2017 chốt buổi sáng giá vàng tiếp tục đi ngang .  Giá vàng trong nước dao động quanh ngưỡng 36 , 40 triệu đồng/lượng . Sự kiện :",今天11/4/2017黄金价格的早晨继续向外行驶。国内黄金价格在3640万/tael的门槛左右波动。
Nhiều mẫu xe ô tô tầm giá trên dưới 500 triệu đồng mới tinh dù giá đã rẻ nay lại tiếp tục được giảm sâu tại thị trường Việt Nam . Sự kiện :,许多价格在5亿面vnd的汽车都是新的，尽管现在的价格在越南市场上继续降低。
Cảng Hàng không quốc tế Cam Ranh  ( Khánh Hoà )  vừa được cấp chứng nhận hệ thống quản lý chất lượng ISO 9001 : 2015 .,Cam Ranh国际机场（Khanh HOA）刚刚获得ISO 9001：2015质量管理系统的认证。
Cặp đôi diễn viên chính của  ’ Hậu duệ mặt trời ’  Song Joong Ki và Song Hye Kyo vừa lọt vào top 30 nghệ sĩ quyền lực nhất làng giải trí Hàn năm nay .,“太阳后代”歌曲Joong Ki和Song Hye Kyo的主要演员刚刚进入了今年韩国娱乐行业的前30名最有力的艺术家。
"Theo các chuyên gia kinh tế ,  động thái giảm lãi suất của Ngân hàng Nhà nước để hỗ trợ các doanh nghiệp trong đại dịch Covid – 19 không chỉ giúp doanh nghiệp có thêm động lực vượt qua đại dịch mà còn góp phần thúc đẩy nền kinh tế sẽ khởi sắc hơn .",根据经济专家的说法，降低国有银行利率支持企业的州的状况 -19个大流行不仅有助于企业有更多动力克服大流行，而且还为经济做出了贡献。
"Bị mắc kẹt và đối mặt với cái chết trong căn hộ trên tầng 23 trong vụ cháy tòa nhà 27 tầng ,  cặp vợ chồng đã gọi điện về cho cha mẹ .",这对夫妇在27层建筑大火的23楼的公寓里被困并面对死亡，这对夫妇打电话给父母。
Giới khoa học đã chỉ ra 9 địa điểm có thể là nơi cất giấu kho báu trị giá 37 tỷ USD thời Đức Quốc Xã .,科学家指出了9个地点，可以在纳粹时期隐藏价值370亿美元的宝藏的地方。
"Sau báo khoản lỗ ròng sau kiểm toán gần 496 tỷ đồng ,  cổ phiếu DXG của Tập đoàn Đất Xanh sẽ bị đưa vào diện cảnh báo từ ngày 31/3",在审计近4960亿次审核后净亏损之后，将从3月31日开始警告DAT XANH集团的DXG股票
Câu chuyện lạ về một người phụ nữ Nga nhảy vội từ tầng 3 xuống để trốn ma khiến nhiều người  ’ dở khóc dở cười ’  khi đó chỉ là người chồng cô đi làm về .  Sự kiện :,一个关于一个俄罗斯妇女从三楼跳下来的奇怪故事，躲藏在鬼魂中，导致许多人“哭泣和笑着”，然后她的丈夫下班回家。事件：
Mặc dù giấc mơ ô tô giá rẻ không đến như kỳ vọng khi thuế nhập khẩu xe về 0% nhưng lượng người Việt bỏ tiền mua xe vẫn tăng hơn so với năm trước . Sự kiện :,尽管当进口税为0％时，廉价汽车的梦想并不像预期的那样，但与上一年相比，花钱购买汽车的越南人数量仍在增加。
"Mọi người ăn kiêng vì họ muốn có được một cơ thể hấp đẹp hơn với các số đo lý tưởng .  Đó là một mục tiêu tốt ,  nhưng vì sức khỏe tinh thần chúng ta ăn kiêng sẽ như thế nào",人们的节食是因为他们希望拥有一个更漂亮的蒸蒸，并具有理想的测量。这是一个好目标，但是由于我们的心理健康，我们饮食会像
"Cách làm sinh tố cà chua không chỉ thức uống vô cùng bổ dưỡng cho sức khỏe mà còn giúp làn da trở nên mịn màng ,  trắng sáng hơn .  Cùng theo dõi cách làm sinh tố cà chua dưới đây nhé .",如何制作番茄冰沙不仅对健康非常有营养，而且还可以帮助皮肤变得更光滑。按照在下面制作番茄冰沙的方式。
Dưới đây là danh sách các ngân hàng Việt vừa chính thức tuyên bố miễn giảm phí chuyển tiền nhanh liên ngân hàng qua Napas .,以下是越南银行正式宣布通过NAPAS豁免快速汇款费的越南银行清单。
"Chủ tịch Sông Đà 7 Nguyễn Mạnh Thắng đã chi gần 60 tỷ đồng  ( hơn 2 , 5 triệu USD )  để mua 5 căn nhà liền kề tại dự án 90 Nguyễn Tuân .",Song Da 7 Nguyen Manh Thang的董事长花了近600亿面（超过250万美元）在90 Nguyen tuan项目中购买5座相邻房屋。
Tổng thống Mỹ Barack Obama và các nhà lãnh đạo châu Âu vào hôm qua đã cảnh báo Nga rằng họ đã sẵn sàng để thực hiện các biện pháp trừng phạt tiếp theo nếu Nga vẫn tiếp tục có những hành vi vi phạm thỏa thuận ngừng bắn Minsk . Sự kiện :,美国总统巴拉克·奥巴马（Barack Obama）和欧洲领导人昨天警告俄罗斯，如果俄罗斯继续违反明斯克停火协议，他们准备采取下一次制裁。
"Qua chặng đường 20 năm dựng xây và phát triển ,  Tổng Công ty Cổ phần dịch vụ Kỹ Thuật Dầu Khí Việt Nam  ( PTSC )  đã có những bước phát triển mạnh mẽ và được đánh giá là đơn vị hàng đầu trong lĩnh vực cung cấp các dịch vụ kỹ thuật dầu khí ,  tạo thương hiệu lớn trên thị trường Đông Nam Á .",在20年的建设和开发中，越南石油和天然气技术服务公司（PTSC）做出了强大的发展，并被视为供应领域的领先单位。石油和天然气技术服务，在东南亚市场创建一个大品牌。
"Google đang tiến hành nghiên cứu ,  xây dựng mô hình sức khỏe chuẩn mực của con người ,  qua đó đánh giá và đưa ra các khuyến cáo về sức khỏe cho người dùng .",Google正在进行研究，建立人类标准健康模型，从而为用户评估和提出健康建议。
"Tập đoàn Điện lực Việt Nam  ( EVN )  vừa chính thức có Chủ tịch mới ,  sau khi ông Hoàng Quốc Vượng được điều về Bộ Công Thương hồi tháng 1/2015 .",越南电力集团（EVN）于2015年1月被派往工业和贸易部后，已正式担任新总统。
"Giá vàng trên thị trường trong và ngoài nước đều tăng ,  khoảng cách chênh lệch giá vàng trong và ngoài nước tiếp tục nới rộng tới 4 , 5 triệu đồng/lượng . Sự kiện :",国内和国外市场的黄金价格上涨，国内和外国黄金价格之间的差距持续提高到450万张/tael。
Giày dép và rau quả là hai trong những nhóm hàng xuất khẩu chủ lực có mức tăng ấn tượng những tháng đầu năm .,鞋子和蔬菜是两个关键出口群体中的两个，在一年中的头几个月中有了令人印象深刻的增长。
"Trong báo cáo công bố sáng 23-2 của Tổ chức JETRO ,  các doanh nghiệp Nhật Bản cho rằng môi trường đầu tư Việt Nam đang xấu đi do tăng tính rủi ro .",在2月23日的Jetro报告中，日本企业认为，由于风险增加，越南投资环境正在恶化。
"Thông tin Vietjet trở thành hãng hàng không lớn thứ 2 Đông Nam Á  ( ĐNA )  ,  vượt qua cả Air Asia đã góp phần đẩy giá cổ phiếu VJC lên cao .",Information Vietjet成为东南亚（东南亚）的第二大航空公司，超过了亚洲航空，这有助于推动VJC股价更高。
"Mới đây ,  Ngọc Trinh tiết lộ về danh tính người mua lại sim khủng trị giá 20 tỷ .  Sự kiện :",最近，Ngoc Trinh透露了一个价值200亿个可怕的Sim的买家的身份。事件：
Một cặp đôi Thổ Nhĩ Kỳ gây xúc động khi chia sẽ niềm vui trong ngày trọng đại với 4 . 000 người tị nạn Syria .,"一对土耳其夫妇与4,000名叙利亚难民分享了大日子的欢乐。"
Nghiên cứu mới chỉ ra rằng những người hoạt động nghệ thuật và sáng tạo có nguy cơ dễ mắc bệnh tâm thần và rối loạn lưỡng cực hơn những người khác .,研究表明，与其他人相比，艺术和富有创造力的人面临精神疾病和躁郁症的风险。
"Theo Cục Đăng kiểm Việt Nam ,  nhiều trường hợp xe ô tô được sản xuất trong giai đoạn trước ,  sau năm 2000 không đạt tiêu chuẩn khí thải .  .  .",根据越南登记册，在上一时期生产了许多汽车案例，2000年之后未达到排放标准...
"Thịt bò khô là món ăn khoái khẩu của nhiều người ,  đặc biệt là dân nhậu .  Tuy nhiên ,  rất ít ai biết rõ sự nguy hiểm tiềm ẩn trong loại thực phẩm này .",干牛肉是许多人最喜欢的菜，尤其是饮酒者。但是，很少有人知道这种食物的潜在危险。
"Trong các tháng gần đây ,  thị trường ôtô nhập khẩu trở nên nhộn nhịp hơn hẳn so với năm ngoái và giai đoạn đầu năm .",最近几个月，进口汽车市场变得比去年和年初更加繁华。
Volvo XC60 thắng giải chiếc xe ô tô tốt nhất thế giới năm 2018 .  Giải thưởng về hiệu suất và thiết kế được trao cho BMW M5 và Range Rover Velar . Sự kiện :,沃尔沃XC60赢得了2018年世界上最好的汽车。授予BMW M5和Range Rover Velar的奖项和设计奖。
"Rất nhiều cặp vợ chồng mong muốn chào đón sự ra đời của những sinh linh bé bỏng nhưng việc mang thai hay dễ thụ thai lại không dễ dàng .  Vì vậy ,  quan hệ thường xuyên có tác động rất tốt đối với khả năng sinh sản .",许多夫妇希望欢迎小动物的诞生，但是怀孕或易于怀孕并不容易。因此，定期关系对生育能力有很好的影响。
Tình hình Ukraine mới nhất cập nhật ngày 2/7 cho biết Tổng thống Ukraine đã nhấn mạnh việc Anh rời khỏi EU sẽ không thể ngăn cản Kiev gia nhập khối này . Sự kiện :,乌克兰最新的局势在7月2日更新说，乌克兰总统强调，离开欧盟的英国将无法阻止基辅加入这一障碍。
"Vietravel dự định sẽ đầu tư hãng hàng không Vietravel Airlines với trụ sở đặt tại Huế .  Nếu điều này thành hiện thực ,  Việt Nam sẽ có hãng hàng không thứ 6 trong tương lai không xa .",Vietravel打算在Hue的总部投资于Vietravel Airlines。如果实现这一目标，越南将在不久的将来拥有第六航空公司。
Ngân hàng Nhà nước  ( NHNN )  nên quay trở về với vai trò và trách nhiệm cốt lõi của mình là điều hành chính sách tiền tệ và tỷ giá đúng nghĩa ở tầm vĩ mô .,国家银行（SBV）应重新恢复其在宏观水平上管理货币政策和真实汇率的​​核心作用和责任。
Mẫu ô tô SUV Chevrolet Trailblazer đời 2019 đang được các đại lý giảm giá mạnh tới 300 triệu đồng/chiếc tại Việt Nam . Sự kiện :,2019年SUV雪佛兰开拓者汽车在越南的经销商处以高达3亿张/单位的经销商折扣。
"Giá vàng hôm nay ngày 21/5/2016 tiếp tục giảm nhẹ ,  khép lại một tuần đầy thăng trầm với những giao dịch lên xuống liên tục nhưng không mấy khả quan . Sự kiện :",今天的金价在2016年5月21日继续略有下降，以连续但并不令人满意的交易结束了一周的起伏。
"Thang máy ,  thang cuốn đang là nỗi kinh hoàng với người dân Trung Quốc .  Một cô gái trẻ đã tử vong khi đang đi thang máy ở Trung Quốc trong sáng 30/7 ,  tiếp tục gây nên nỗi sợ hãi cho người dân nước này liên quan đến các vụ tai nạn thang máy thời gian gần đây .",电梯和自动扶梯对中国人来说令人恐惧。一名年轻女孩于7月30日上午在中国乘电梯时死亡，继续对与最近的电梯事故有关的这个国家的人民造成恐惧。
Chiếc SUV mới có thiết kế ngoại thất đẹp mắt Skoda Kamiq sắp ra mắt thị trường Trung Quốc vào tháng 6 với giá từ 315 triệu đồng . Sự kiện :,新的SUV拥有精美的外部设计Skoda Kamiq即将在6月在中国首次亮相，价格为3.15亿。
"Chế độ ăn uống hợp lý không chỉ đảm bảo sức khỏe các thành viên trong gia đình ,  mà còn có tác dụng phòng tránh rất nhiều bệnh gây hại cho hệ tiêu hóa .",合理的饮食不仅可以确保家庭成员的健康，而且还可以防止许多对消化系统有害的疾病。
"Nhiều ngôi nhà của Sao Việt có thiết kế hồ nước ,  ao cá trong sân vườn để tạo cảm giác yên tĩnh ,  gần gũi với thiên nhiên .",许多圣越的房屋都有湖泊设计，在花园里有鱼池，使人有一种安静和靠近大自然的感觉。
"Suzuki đã cho phép khách hàng đặt mua chiếc Ertiga mới đi kèm động cơ xăng 1 . 5 lít và diesel 1 , 3 lít ,  với mức giá đặt trước khoảng hơn 35 triệu đồng tại Ấn Độ . Sự kiện :",铃木允许客户订购新的Etertiga，其中包括1.5升的汽油发动机和1.3升柴油，在印度的价格超过3500万。
"Giá lợn hơi tại miền Nam vẫn thấp nhất cả nước ,  khoảng 26 . 000 đồng/kg do bị thương lái ép giá .  Trong khi đó ,  giá lợn hơi ngày hôm nay ở miền Bắc vẫn được giữ ở mức khoảng 30 . 000 đồng/kg và chưa có dấu hiệu sẽ tăng hoặc giảm . Sự kiện :","南方的活猪的价格仍然是该国最低的，由于交易者的价格强迫价格，约有26,000 vnd/kg。同时，当今北部的活猪的价格仍然保持在约30,000 vnd/kg的位置，没有任何迹象会增加或下降。"
Đó là một trong những nội dung được đoàn kiểm tra liên ngành an toàn thực phẩm thành phố Hà Nội thực hiện nhằm quản lý chất lượng bánh trung thu trên địa bàn Thủ đô .,它是河内食品安全检查团队实施的内容之一，以管理首都月亮蛋糕的质量。
"Khi liên bộ Tài chính ,  Công thương hoặc chỉ Bộ Tài chính thông báo không tăng giá bán xăng thì ngay lập tức xăng dầu sẽ tăng giá ?",当财政部，工业和贸易部或仅限财政部宣布不会提高汽油价格时，会立即提高价格？
"Tại cuộc họp giao ban Sở Y tế TP .  HCM ngày 1/4 ,  bác sĩ Nguyễn Trí Dũng ,  Giám đốc Trung tâm Y tế dự phòng TP .  HCM cảnh báo nguy cơ xuất hiện các chùm ca bệnh truyền nhiễm trong trường học ,  đặc biệt là các bệnh thủy đậu ,  tay chân miệng và cúm .",在城市卫生部门的会议上。 Ho Chi Minh City于4月1日，Ho Chi Minh City预防医疗中心主任Nguyen Tri Dung博士。胡志明市警告说，学校，尤其是水痘，手，脚和口腔疾病的传染病风险。
"Gần đây ,  Trewithen Dairy đang tiến hành thu hồi một số sản phẩm kem sữa sau khi phát hiện chúng bị nhiễm hàm lượng nhỏ độc chất từ dung dịch tẩy rửa .",最近，Trewithen Dairy在检测到清洁液中的少量有毒物质污染后，回想起一些奶霜产品。
"Khi thuế nhập khẩu ô tô giảm về 0% vào đầu năm 2018 ,  thì những chiếc ô tô tầm giá 600 triệu đồng sẽ được giảm bao nhiêu tiền ? Sự kiện :",当汽车进口税在2018年初降至0％时，汽车将耗资6亿朵vnd？
"Hiện có 63 đơn vị đang cung cấp 135 dịch vụ phần mềm khác nhau cho Hà Nội ,  trong đó Công ty Nhật Cường chỉ là 1/63 đơn vị tham gia dịch vụ này .",目前有63个单位为河内提供135个不同的软件服务，其中NHAT Cuong公司只有1/63个单位参与此服务。
Tên lửa hành trình tầm xa Nirbhay của Ấn Độ có thể tấn công vào sâu lãnh thổ Trung Quốc .,印度的漫长范围巡航导弹可以深入中国。
Nhận định của các công ty chứng khoán về diễn biến thị trường chứng khoán ngày 23/10,证券公司对10月23日股市变动的评论
